sample_index,label,prediction,correct,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,output_power_0,output_power_1,output_power_2,output_power_3,output_power_4,output_power_5,output_power_6,output_power_7
0,7,7,1,0.0485337525606,0.0458595342934,0.0544518083334,0.0657622739673,0.0749263688922,0.0799722149968,0.160903915763,0.469590127468,0.0473064407706,0.0570002421737,0.0494065433741,0.0361448377371,0.0538137257099,0.0379760190845,0.0602917075157,0.658060491085
1,2,2,1,0.301127493382,3.94923372369e-05,0.26051941514,0.253521502018,0.0002314686717,0.0624659284949,0.0642028227448,0.0578919053078,0.0434087850153,0.0715352073312,0.644690513611,0.0236022528261,0.0320048741996,0.0451793111861,0.0280120633543,0.111567027867
2,1,1,1,3.26168374158e-05,0.345546215773,0.262013673782,0.217885673046,0.00014526292216,0.0563939958811,0.059667006135,0.0583156608045,0.0327138192952,0.689460277557,0.0579066313803,0.0221360549331,0.0237538162619,0.041704364121,0.0233617667109,0.108963318169
3,0,0,1,0.377824693918,0.33141374588,0.000204316718737,0.0104544525966,0.0771631747484,0.0668829903007,0.0722815841436,0.0637750849128,0.647821724415,0.0349858961999,0.0200647972524,0.0335597805679,0.0480536185205,0.0421306975186,0.0473084636033,0.126074969769
4,4,4,1,0.0841851308942,0.0608657002449,0.290374070406,2.31218364206e-05,0.297050505877,0.209460422397,2.5633336918e-05,0.0580153763294,0.0676737576723,0.0587979033589,0.0494113713503,0.0515725314617,0.655697584152,0.00922221224755,0.017962820828,0.0896617919207
5,1,1,1,3.09886454488e-05,0.346715629101,0.264586389065,0.218158856034,0.00012334738858,0.0551868341863,0.0549744330347,0.0602234564722,0.0326357893646,0.693193376064,0.0584298558533,0.0222904067487,0.0242762062699,0.0382167287171,0.0214662849903,0.10949139297
6,4,4,1,0.0785397663713,0.0654622614384,0.300817131996,2.45972569246e-05,0.286758214235,0.21403747797,2.87119764835e-05,0.0543317869306,0.0653451383114,0.066819190979,0.0482460707426,0.0496762879193,0.657524943352,0.0107347657904,0.0164718497545,0.0851818099618
7,5,5,1,0.0821578502655,0.0635116994381,0.0774903446436,0.0445003062487,6.78123687976e-05,0.362373530865,0.369786739349,0.000111734851089,0.0716651827097,0.0869725570083,0.0933949053288,0.0196323171258,0.0441191568971,0.585099339485,0.0466531701386,0.0524633638561
8,0,0,1,0.381147801876,0.329399049282,0.000135435257107,0.00807543098927,0.0832963138819,0.068569727242,0.0697367116809,0.0596395209432,0.653957426548,0.0312972962856,0.0180950202048,0.033700350672,0.0534749999642,0.0418066196144,0.0477121025324,0.119956225157
9,6,6,1,0.0611656270921,0.063919775188,0.0645623728633,0.163718357682,0.324533581734,2.36042287725e-05,0.322052955627,2.3782482458e-05,0.0647865235806,0.0734004378319,0.05688335374,0.0373855642974,0.0462658368051,0.028125109151,0.649384796619,0.0437684245408
10,0,0,1,0.393203645945,0.345258206129,0.000126134444145,0.00693844957277,0.0749541372061,0.0630519092083,0.0589171387255,0.0575502961874,0.679425418377,0.0334757938981,0.018244355917,0.0304233897477,0.0511091016233,0.0357234291732,0.0397681593895,0.111830331385
11,1,1,1,3.31618939526e-05,0.343531191349,0.260054171085,0.219018548727,0.000134584814077,0.0574703924358,0.0691558197141,0.0506021231413,0.0324481837451,0.68684232235,0.0581112317741,0.0212107673287,0.022350449115,0.0490350797772,0.0278394538909,0.102162480354
12,5,5,1,0.0648375675082,0.0774290189147,0.0487771779299,0.0303963851184,3.02568914776e-05,0.397191941738,0.381307035685,3.06172441924e-05,0.078411154449,0.0791167616844,0.0539424344897,0.0226732436568,0.0390115752816,0.635147929192,0.0398568026721,0.0518401265144
13,7,7,1,0.0483466051519,0.049028635025,0.0490914955735,0.0603334568441,0.0748635604978,0.0794094875455,0.161924347281,0.477002441883,0.051125947386,0.0546976588666,0.0434933267534,0.0349249653518,0.052461899817,0.0381062179804,0.0588239617646,0.666366040707
14,3,3,1,0.0433258675039,0.110495686531,8.44328387757e-05,0.310876846313,0.0934095084667,0.409316956997,0.0140131954104,0.0184773933142,0.0914190784097,0.104335688055,0.0380222052336,0.535786807537,0.0352516435087,0.117347948253,0.0175715275109,0.0602650754154
15,4,4,1,0.0849536210299,0.0598461031914,0.293971598148,1.92224797502e-05,0.291237950325,0.210555270314,1.95387328858e-05,0.0593967437744,0.0669225305319,0.0590841174126,0.0512752979994,0.0503228344023,0.655181825161,0.00944806821644,0.0167294219136,0.0910359695554
16,6,6,1,0.0619159638882,0.0574747808278,0.0686546117067,0.161648601294,0.323110580444,2.5992278097e-05,0.327143192291,2.6162388167e-05,0.0603777207434,0.0700379759073,0.0611567907035,0.0350360423326,0.0480501689017,0.0292584542185,0.65175974369,0.0443230941892
17,6,6,1,0.0580833777785,0.0575895085931,0.0781591758132,0.166034922004,0.321681588888,2.3426464395e-05,0.318404376507,2.36151408899e-05,0.0552055798471,0.0774909183383,0.0644082650542,0.0346311815083,0.0515544675291,0.0273468550295,0.64600789547,0.0433548241854
18,5,5,1,0.0662530958652,0.0714880302548,0.0560216903687,0.0315665118396,2.75286802207e-05,0.397120118141,0.37749516964,2.78860479739e-05,0.0733200013638,0.0795713961124,0.0611568689346,0.0217591729015,0.0423181280494,0.630923867226,0.039575535804,0.0513750985265
19,4,4,1,0.085683055222,0.0612316019833,0.287487059832,2.22896178457e-05,0.29685741663,0.211757466197,2.3725322535e-05,0.0569373890758,0.0692486613989,0.0579900294542,0.0493915677071,0.0525105297565,0.655018150806,0.00964442174882,0.0177461393178,0.0884504616261
20,0,0,1,0.383265376091,0.330181777477,0.000135617199703,0.00759496446699,0.0940275341272,0.0586994551122,0.0684467852116,0.0576485767961,0.658985495567,0.0297709759325,0.016927594319,0.0322181247175,0.0555989965796,0.034570839256,0.055412992835,0.116515032947
21,7,7,1,0.0596757009625,0.0525454618037,0.0411598719656,0.0644573867321,0.07180544734,0.0800343900919,0.16138201952,0.468939691782,0.0635133087635,0.051138818264,0.0467561408877,0.0385088697076,0.0458773560822,0.0391925387084,0.0580959953368,0.65691691637
22,4,4,1,0.0866663083434,0.0607317984104,0.292217582464,1.78665541171e-05,0.291893661022,0.211614608765,1.80018942046e-05,0.0568401925266,0.0688581392169,0.0587428472936,0.0513078458607,0.0508651100099,0.655462086201,0.00978148169816,0.016937635839,0.0880449041724
23,0,0,1,0.390404134989,0.324468076229,0.000150716659846,0.00709679629654,0.0919835940003,0.0631018131971,0.0644727647305,0.0583221390843,0.660725951195,0.0278967171907,0.0182558838278,0.0333940759301,0.0579299069941,0.0352793559432,0.0502951219678,0.116222985089
24,1,1,1,3.83045444323e-05,0.348766475916,0.270157784224,0.209850624204,0.000249910255661,0.0590064637363,0.0527688786387,0.0591615326703,0.0332240574062,0.692055583,0.0570309273899,0.022196624428,0.0286336001009,0.0390915386379,0.0201033763587,0.10766427964
25,3,3,1,0.0322210900486,0.0709694549441,1.64226803463e-05,0.328575402498,0.226937443018,0.27469432354,1.67275084095e-05,0.066569134593,0.0625127255917,0.06774430722,0.0291589591652,0.617028057575,0.0632316023111,0.0136718451977,0.0356003604829,0.111052155495
26,1,1,1,3.39473808708e-05,0.347886443138,0.264413952827,0.213534072042,0.00014450965682,0.0574145391583,0.0601999349892,0.0563726201653,0.0331983044744,0.690567791462,0.0570720396936,0.0212485268712,0.0249534323812,0.0431080535054,0.023227032274,0.10662484169
27,3,3,1,0.0427586883307,0.0608085207641,1.88326812349e-05,0.3399310112,0.215235903859,0.289112627506,2.06603435799e-05,0.0521137081087,0.0652211755514,0.059505213052,0.0408217199147,0.627538383007,0.0611971504986,0.0182782988995,0.0341232158244,0.0933148190379
28,4,4,1,0.120812468231,0.0815562456846,0.336167305708,0.000604423345067,0.268557786942,0.167992070317,0.00288736657239,0.0214224047959,0.096999950707,0.0799973011017,0.0765084773302,0.0297466665506,0.618496954441,0.0143390204757,0.036429118365,0.0474824681878
